KEY,state,year,month,period,indicator,data_value,state_name,Date,unemployment_rate
South DakotaApril2017,SD,2017,April,12 month-ending,Heroin (T40.1),10,South Dakota,4/1/2017,3.2
South DakotaDecember2017,SD,2017,December,12 month-ending,Heroin (T40.1),10,South Dakota,12/1/2017,3.2
South DakotaJanuary2018,SD,2018,January,12 month-ending,Heroin (T40.1),10,South Dakota,1/1/2018,3.2
South DakotaJune2017,SD,2017,June,12 month-ending,Heroin (T40.1),10,South Dakota,6/1/2017,3.2
South DakotaMarch2017,SD,2017,March,12 month-ending,Heroin (T40.1),10,South Dakota,3/1/2017,3.2
South DakotaNovember2017,SD,2017,November,12 month-ending,Heroin (T40.1),10,South Dakota,11/1/2017,3.2
South DakotaOctober2017,SD,2017,October,12 month-ending,Heroin (T40.1),10,South Dakota,10/1/2017,3.2
South DakotaAugust2017,SD,2017,August,12 month-ending,Heroin (T40.1),10,South Dakota,8/1/2017,3.3
HawaiiMay2018,HI,2018,May,12 month-ending,Heroin (T40.1),11,Hawaii,5/1/2018,2.4
Rhode IslandNovember2017,RI,2017,November,12 month-ending,Heroin (T40.1),11,Rhode Island,11/1/2017,4.4
HawaiiJune2018,HI,2018,June,12 month-ending,Heroin (T40.1),12,Hawaii,6/1/2018,2.5
New HampshireJune2018,NH,2018,June,12 month-ending,Heroin (T40.1),12,New Hampshire,6/1/2018,2.6
Rhode IslandJuly2018,RI,2018,July,12 month-ending,Heroin (T40.1),12,Rhode Island,7/1/2018,3.9
Rhode IslandJune2018,RI,2018,June,12 month-ending,Heroin (T40.1),12,Rhode Island,6/1/2018,3.9
Rhode IslandMay2018,RI,2018,May,12 month-ending,Heroin (T40.1),12,Rhode Island,5/1/2018,4
Rhode IslandApril2018,RI,2018,April,12 month-ending,Heroin (T40.1),12,Rhode Island,4/1/2018,4.1
Rhode IslandMarch2018,RI,2018,March,12 month-ending,Heroin (T40.1),12,Rhode Island,3/1/2018,4.2
