KEY,state,year,month,period,indicator,data_value,state_name,Date,unemployment_rate
HawaiiNovember2017,HI,2017,November,12 month-ending,Heroin (T40.1),0,Hawaii,11/1/2017,2.2
HawaiiOctober2017,HI,2017,October,12 month-ending,Heroin (T40.1),0,Hawaii,10/1/2017,2.2
HawaiiApril2018,HI,2018,April,12 month-ending,Heroin (T40.1),13,Hawaii,4/1/2018,2.3
HawaiiAugust2017,HI,2017,August,12 month-ending,Heroin (T40.1),0,Hawaii,8/1/2017,2.3
HawaiiDecember2017,HI,2017,December,12 month-ending,Heroin (T40.1),0,Hawaii,12/1/2017,2.3
HawaiiJanuary2018,HI,2018,January,12 month-ending,Heroin (T40.1),0,Hawaii,1/1/2018,2.3
HawaiiMarch2018,HI,2018,March,12 month-ending,Heroin (T40.1),0,Hawaii,3/1/2018,2.3
HawaiiSeptember2017,HI,2017,September,12 month-ending,Heroin (T40.1),0,Hawaii,9/1/2017,2.3
VermontJanuary2019,VT,2019,January,12 month-ending,Heroin (T40.1),67,Vermont,1/1/2019,2.4
VermontOctober2018,VT,2018,October,12 month-ending,Heroin (T40.1),64,Vermont,10/1/2018,2.4
VermontDecember2018,VT,2018,December,12 month-ending,Heroin (T40.1),63,Vermont,12/1/2018,2.4
VermontNovember2018,VT,2018,November,12 month-ending,Heroin (T40.1),59,Vermont,11/1/2018,2.4
HawaiiMay2018,HI,2018,May,12 month-ending,Heroin (T40.1),11,Hawaii,5/1/2018,2.4
HawaiiJuly2017,HI,2017,July,12 month-ending,Heroin (T40.1),0,Hawaii,7/1/2017,2.4
HawaiiJune2017,HI,2017,June,12 month-ending,Heroin (T40.1),0,Hawaii,6/1/2017,2.4
VermontSeptember2018,VT,2018,September,12 month-ending,Heroin (T40.1),57,Vermont,9/1/2018,2.5
IowaSeptember2018,IA,2018,September,12 month-ending,Heroin (T40.1),55,Iowa,9/1/2018,2.5
IowaJuly2018,IA,2018,July,12 month-ending,Heroin (T40.1),53,Iowa,7/1/2018,2.5
VermontAugust2018,VT,2018,August,12 month-ending,Heroin (T40.1),52,Vermont,8/1/2018,2.5
VermontJuly2018,VT,2018,July,12 month-ending,Heroin (T40.1),51,Vermont,7/1/2018,2.5
IowaAugust2018,IA,2018,August,12 month-ending,Heroin (T40.1),50,Iowa,8/1/2018,2.5
IowaOctober2018,IA,2018,October,12 month-ending,Heroin (T40.1),48,Iowa,10/1/2018,2.5
HawaiiMay2017,HI,2017,May,12 month-ending,Heroin (T40.1),17,Hawaii,5/1/2017,2.5
HawaiiJuly2018,HI,2018,July,12 month-ending,Heroin (T40.1),14,Hawaii,7/1/2018,2.5
HawaiiJune2018,HI,2018,June,12 month-ending,Heroin (T40.1),12,Hawaii,6/1/2018,2.5
New HampshireAugust2018,NH,2018,August,12 month-ending,Heroin (T40.1),0,New Hampshire,8/1/2018,2.5
New HampshireDecember2018,NH,2018,December,12 month-ending,Heroin (T40.1),0,New Hampshire,12/1/2018,2.5
