KEY,state,year,month,period,indicator,data_value,state_name,Date,unemployment_rate
HawaiiNovember2017,HI,2017,November,12 month-ending,Methadone (T40.3),0,Hawaii,11/1/2017,2.2
HawaiiOctober2017,HI,2017,October,12 month-ending,Methadone (T40.3),0,Hawaii,10/1/2017,2.2
HawaiiApril2018,HI,2018,April,12 month-ending,Methadone (T40.3),0,Hawaii,4/1/2018,2.3
HawaiiAugust2017,HI,2017,August,12 month-ending,Methadone (T40.3),0,Hawaii,8/1/2017,2.3
HawaiiDecember2017,HI,2017,December,12 month-ending,Methadone (T40.3),0,Hawaii,12/1/2017,2.3
HawaiiFebruary2018,HI,2018,February,12 month-ending,Methadone (T40.3),0,Hawaii,2/1/2018,2.3
HawaiiJanuary2018,HI,2018,January,12 month-ending,Methadone (T40.3),0,Hawaii,1/1/2018,2.3
HawaiiMarch2018,HI,2018,March,12 month-ending,Methadone (T40.3),0,Hawaii,3/1/2018,2.3
HawaiiSeptember2017,HI,2017,September,12 month-ending,Methadone (T40.3),0,Hawaii,9/1/2017,2.3
VermontDecember2018,VT,2018,December,12 month-ending,Methadone (T40.3),0,Vermont,12/1/2018,2.4
VermontJanuary2019,VT,2019,January,12 month-ending,Methadone (T40.3),0,Vermont,1/1/2019,2.4
HawaiiJuly2017,HI,2017,July,12 month-ending,Methadone (T40.3),0,Hawaii,7/1/2017,2.4
HawaiiJune2017,HI,2017,June,12 month-ending,Methadone (T40.3),0,Hawaii,6/1/2017,2.4
HawaiiMay2018,HI,2018,May,12 month-ending,Methadone (T40.3),0,Hawaii,5/1/2018,2.4
VermontNovember2018,VT,2018,November,12 month-ending,Methadone (T40.3),0,Vermont,11/1/2018,2.4
VermontOctober2018,VT,2018,October,12 month-ending,Methadone (T40.3),10,Vermont,10/1/2018,2.4
IowaAugust2018,IA,2018,August,12 month-ending,Methadone (T40.3),12,Iowa,8/1/2018,2.5
New HampshireAugust2018,NH,2018,August,12 month-ending,Methadone (T40.3),10,New Hampshire,8/1/2018,2.5
VermontAugust2018,VT,2018,August,12 month-ending,Methadone (T40.3),10,Vermont,8/1/2018,2.5
New HampshireDecember2018,NH,2018,December,12 month-ending,Methadone (T40.3),10,New Hampshire,12/1/2018,2.5
New HampshireJanuary2019,NH,2019,January,12 month-ending,Methadone (T40.3),0,New Hampshire,1/1/2019,2.5
HawaiiJuly2018,HI,2018,July,12 month-ending,Methadone (T40.3),10,Hawaii,7/1/2018,2.5
IowaJuly2018,IA,2018,July,12 month-ending,Methadone (T40.3),13,Iowa,7/1/2018,2.5
New HampshireJuly2018,NH,2018,July,12 month-ending,Methadone (T40.3),11,New Hampshire,7/1/2018,2.5
VermontJuly2018,VT,2018,July,12 month-ending,Methadone (T40.3),11,Vermont,7/1/2018,2.5
HawaiiJune2018,HI,2018,June,12 month-ending,Methadone (T40.3),10,Hawaii,6/1/2018,2.5
HawaiiMay2017,HI,2017,May,12 month-ending,Methadone (T40.3),13,Hawaii,5/1/2017,2.5
New HampshireNovember2018,NH,2018,November,12 month-ending,Methadone (T40.3),0,New Hampshire,11/1/2018,2.5
IowaOctober2018,IA,2018,October,12 month-ending,Methadone (T40.3),10,Iowa,10/1/2018,2.5
New HampshireOctober2018,NH,2018,October,12 month-ending,Methadone (T40.3),0,New Hampshire,10/1/2018,2.5
IowaSeptember2018,IA,2018,September,12 month-ending,Methadone (T40.3),0,Iowa,9/1/2018,2.5
New HampshireSeptember2018,NH,2018,September,12 month-ending,Methadone (T40.3),10,New Hampshire,9/1/2018,2.5
VermontSeptember2018,VT,2018,September,12 month-ending,Methadone (T40.3),11,Vermont,9/1/2018,2.5
HawaiiApril2017,HI,2017,April,12 month-ending,Methadone (T40.3),13,Hawaii,4/1/2017,2.6
New HampshireApril2018,NH,2018,April,12 month-ending,Methadone (T40.3),10,New Hampshire,4/1/2018,2.6
VermontApril2018,VT,2018,April,12 month-ending,Methadone (T40.3),11,Vermont,4/1/2018,2.6
HawaiiAugust2018,HI,2018,August,12 month-ending,Methadone (T40.3),10,Hawaii,8/1/2018,2.6
IowaDecember2018,IA,2018,December,12 month-ending,Methadone (T40.3),10,Iowa,12/1/2018,2.6
IowaJune2018,IA,2018,June,12 month-ending,Methadone (T40.3),15,Iowa,6/1/2018,2.6
New HampshireJune2018,NH,2018,June,12 month-ending,Methadone (T40.3),11,New Hampshire,6/1/2018,2.6
VermontJune2018,VT,2018,June,12 month-ending,Methadone (T40.3),10,Vermont,6/1/2018,2.6
HawaiiMarch2017,HI,2017,March,12 month-ending,Methadone (T40.3),12,Hawaii,3/1/2017,2.6
IowaMay2018,IA,2018,May,12 month-ending,Methadone (T40.3),16,Iowa,5/1/2018,2.6
New HampshireMay2018,NH,2018,May,12 month-ending,Methadone (T40.3),11,New Hampshire,5/1/2018,2.6
VermontMay2018,VT,2018,May,12 month-ending,Methadone (T40.3),11,Vermont,5/1/2018,2.6
IowaNovember2018,IA,2018,November,12 month-ending,Methadone (T40.3),0,Iowa,11/1/2018,2.6
New HampshireApril2017,NH,2017,April,12 month-ending,Methadone (T40.3),18,New Hampshire,4/1/2017,2.7
IowaApril2018,IA,2018,April,12 month-ending,Methadone (T40.3),18,Iowa,4/1/2018,2.7
New HampshireAugust2017,NH,2017,August,12 month-ending,Methadone (T40.3),16,New Hampshire,8/1/2017,2.7
New HampshireDecember2017,NH,2017,December,12 month-ending,Methadone (T40.3),12,New Hampshire,12/1/2017,2.7
VermontDecember2017,VT,2017,December,12 month-ending,Methadone (T40.3),15,Vermont,12/1/2017,2.7
HawaiiFebruary2017,HI,2017,February,12 month-ending,Methadone (T40.3),13,Hawaii,2/1/2017,2.7
New HampshireFebruary2018,NH,2018,February,12 month-ending,Methadone (T40.3),13,New Hampshire,2/1/2018,2.7
VermontFebruary2018,VT,2018,February,12 month-ending,Methadone (T40.3),14,Vermont,2/1/2018,2.7
HawaiiJanuary2017,HI,2017,January,12 month-ending,Methadone (T40.3),15,Hawaii,1/1/2017,2.7
New HampshireJanuary2018,NH,2018,January,12 month-ending,Methadone (T40.3),13,New Hampshire,1/1/2018,2.7
VermontJanuary2018,VT,2018,January,12 month-ending,Methadone (T40.3),15,Vermont,1/1/2018,2.7
IowaJanuary2019,IA,2019,January,12 month-ending,Methadone (T40.3),0,Iowa,1/1/2019,2.7
New HampshireJuly2017,NH,2017,July,12 month-ending,Methadone (T40.3),18,New Hampshire,7/1/2017,2.7
New HampshireJune2017,NH,2017,June,12 month-ending,Methadone (T40.3),18,New Hampshire,6/1/2017,2.7
IowaMarch2018,IA,2018,March,12 month-ending,Methadone (T40.3),16,Iowa,3/1/2018,2.7
New HampshireMarch2018,NH,2018,March,12 month-ending,Methadone (T40.3),12,New Hampshire,3/1/2018,2.7
VermontMarch2018,VT,2018,March,12 month-ending,Methadone (T40.3),12,Vermont,3/1/2018,2.7
New HampshireMay2017,NH,2017,May,12 month-ending,Methadone (T40.3),17,New Hampshire,5/1/2017,2.7
New HampshireNovember2017,NH,2017,November,12 month-ending,Methadone (T40.3),12,New Hampshire,11/1/2017,2.7
New HampshireOctober2017,NH,2017,October,12 month-ending,Methadone (T40.3),15,New Hampshire,10/1/2017,2.7
HawaiiOctober2018,HI,2018,October,12 month-ending,Methadone (T40.3),0,Hawaii,10/1/2018,2.7
New HampshireSeptember2017,NH,2017,September,12 month-ending,Methadone (T40.3),15,New Hampshire,9/1/2017,2.7
HawaiiSeptember2018,HI,2018,September,12 month-ending,Methadone (T40.3),10,Hawaii,9/1/2018,2.7
HawaiiDecember2016,HI,2016,December,12 month-ending,Methadone (T40.3),15,Hawaii,12/1/2016,2.8
New HampshireDecember2016,NH,2016,December,12 month-ending,Methadone (T40.3),28,New Hampshire,12/1/2016,2.8
IowaDecember2017,IA,2017,December,12 month-ending,Methadone (T40.3),17,Iowa,12/1/2017,2.8
